Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Text,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Mktplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,269,,Stay safe online,Remain vigilant to online security,Keep up to date with news and information about staying safe online. Regularly checking up on the latest cybersecurity new is a great habit.,,Add to habits,UK,Monthly,Get Safe Online,https://www.getsafeonline.org/personal/blog/,50-99,All,All,,,Get Safe Online,Charity,https://www.getsafeonline.org/personal/blog/,online,N/a,Free,No,,,,n/a,n/a,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,1,Development,270,271,Family online safety,Get practical knowhow keeping your family safe online,"Young people are growing up in an increasingly digital world, exposing them to both the opportunities and risks of the internet. Get savvy on how you can protect yourself and your family when online.","Get practical advice on how to protect yourself, your computers and mobiles device and your business against fraud, identity theft, viruses and many other problems encountered online.",Read,UK,,,,0-49,All,All,,,Get Safe Online,Charity,https://www.getsafeonline.org/personal/article-category/safeguarding-children/,online,N/a,Free,No,,,,n/a,n/a,N/a,Annual,,National Cyber Security Centre,Government,https://www.ncsc.gov.uk/section/information-for/individuals-families,Online,n/a,Free,n/a,,,,n/a,n/a,,Annual,,National Cyber Security Centre,Government,https://www.ncsc.gov.uk/collection/cybersprinters,Online,n/a,Free,n/a,,,,n/a,n/a,,Annual,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,271,,Family online safety,Remain vigilant to online security for your family,Use these great resources with your children to help them understand and protect themselves from threats online.,,Add to habits,UK,Monthly,BBC,https://www.bbc.co.uk/bitesize/topics/zfcvhbk/articles/zkcj92p,0-49,All,All,,,BBC,Media Organisation,https://www.bbc.co.uk/bitesize/topics/zfcvhbk/articles/zkcj92p,online,N/a,Free,No,,,,1.3,https://www.trustpilot.com/review/www.bbc.co.uk,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,3,Development,272,273,Get digital skills,Get skills and confidence in accessing digital tech,Find a centre near you offering help to build skills and confidence in accessing digital technology.,"In an increasingly digital world it's great when everyone benefits from technology. Growing your digital skills can help you be digitally able, equal and safe, so you can be happier, healthier and better off.",Visit site,UK,,,,60-99,All,All,,,Online Centre Network,Charity,https://www.onlinecentresnetwork.org/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,Age UK,Charity,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/,Online,n/a,Free,n/a,,,,1.6,https://www.trustpilot.com/review/ageuk.co.uk,n/a,Annual,,Barclays,Company,https://digital.wings.uk.barclays/,Online/in person,n/a,Free,n/a,,,,1.4,https://www.trustpilot.com/review/www.barclays.co.uk,Yes,Annual,,Good things Foundation,Charity,https://www.goodthingsfoundation.org/databank/,Online,N/a,Free,n/a,,,,n/a,n/a,N/a,22/02/2024,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,273,,Stay digital,Build your skills and confidence in accessing digital tech,Keep learning and practicing your digital skills through ongoing learning and getting online every day and giving it a go. In no time at all it'll become a great habit.,,Add to habits,Uk,Daily,Online Centre Network,https://www.onlinecentresnetwork.org/,60-99,All,All,,,Online Centre Network,Charity,https://www.onlinecentresnetwork.org/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,3,Development,274,275,Access job skills,"Find training, support and advice to gain new job skills","Unlock a better way ahead. Find training, support, and advice to gain the skills you need for the job you want.","Digital, numeracy and transferable skills, like communicating confidently or handling stressful situations, are some of the most sought-after by employers. Developing these skills can strengthen your CV and help you stand out from the crowd.",Visit site,UK,,,,All,All,Not working,,,UK Government,Government,https://skillsforlife.campaign.gov.uk/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,UK Government,UK Government,https://beta.nationalcareers.service.gov.uk/,Online,n/a,Free,n/a,,,,n/a,n/a,n/a,Quarterly,,OpenLearn,Company,https://www.open.edu/openlearn/,online,n/a,Free,n/a,,,,2.8,https://www.trustpilot.com/review/www.open.ac.uk,n/a,Annual,,GCF Global,Social Enterprise,https://edu.gcfglobal.org/en/topics/computers/,online,n/a,Free,??,,,,n/a,n/a,n/a,22/02/2024,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,275,,Improve job skills,Get training to gain new job skills,"Sign up for training to gain the skills you need for the job you want, take a course study or access learning 21 times to make this a good habit.  ",,Add to habits,UK,Weekly,UK Government,https://skillsforlife.campaign.gov.uk/courses/free-courses-for-jobs/,All,All,Not working,,,UK Government,Government,https://skillsforlife.campaign.gov.uk/courses/free-courses-for-jobs/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,3,Development,276,277,Access job skills,"Find training, support and advice to gain new job skills","Unlock a better way ahead. Find training, support, and advice to gain the skills you need for the job you want.","Digital, numeracy and transferable skills, like communicating confidently or handling stressful situations, are some of the most sought-after by employers. Developing these skills can strengthen your CV and help you stand out from the crowd.",Visit site,UK,,,,All,All,Working,,,UK Government,Government,https://skillsforlife.campaign.gov.uk/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,Virtual College,Company,https://www.virtual-college.co.uk/,Online,n/a,Free/Paid,Yes (NSU),,,,4.7,https://www.trustpilot.com/review/www.virtual-college.co.uk,n/a,Annual,,learningstylequiz.com,Company,https://www.learningstylequiz.com/,Online,n/a,Free,n/a,,,,n/a,n/a,n/a,Quarterly,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,277,,Improve job skills,Get training to gain new job skills,"Sign up for training to gain the skills you need for the job you want, take a course, study or access learning 21 times to make this a good habit.  ",,Add to habits,UK,Weekly,UK Government,https://skillsforlife.campaign.gov.uk/courses/higher-technical-qualifications/,All,All,Working,,,UK Government,Government,https://skillsforlife.campaign.gov.uk/courses/higher-technical-qualifications/,Online/inperson,ALL,Free,No,,,,n/a,n/a,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Up- and Re-skillling,3,3,Development,278,279,Get new skills,Innovative learning for a new career,"Online learning platforms provide access to courses that span across industries from accounting all the way to tourism, to help you upskill and start a new career.","Online learning can be a be modern and innovative way to keep learning and help you retrain for a new career. As adults, it can be all too easy to forget that learning remains important but staying open to new experiences can help you into your dream career regardless of age.",Visit site,UK,,,,All,All,Working,https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,1 training,Company,https://www.1training.org/,Online,N/a,Paid,??,None,,,4.9,https://www.trustpilot.com/review/1training.org,n/a,Annual,,Futurelearn,Company,https://www.futurelearn.com/microcredentials,Online,n/a,Paid,?/,,,,4.6,https://www.trustpilot.com/review/www.futurelearn.com,n/a,Quarterly,,OpenLearn,Company,https://www.open.edu/openlearn/,online,n/a,Free,n/a,,,,2.8,https://www.trustpilot.com/review/www.open.ac.uk,n/a,Annual,,Skills you need,Company,https://www.skillsyouneed.com/learning-skills.html,Online,N/a,Free,n/a,,,,n/a,n/a,n/a,28/02/2024,
Learning,Upskill,Up- and Re-skillling,3,,Maintenance,279,,Get new skills,Innovative learning for a new career,Looking for new career? Sign up for an innovative learning course and get qualifications to help you into a new career.  Keep at it over 21 times and get the lifelong learning habit.,,Add to habits,Uk,Weekly,1 training,https://www.1training.org/,All,All,Working,,,1 training,Company,https://www.1training.org/,Online,N/a,Paid,??,None,,,4.9,https://www.trustpilot.com/review/1training.org,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,1,Development,280,281,Learning platforms,Help in choosing a suitable online learning platform,Help in choosing from the many online learning platforms available to ensure you get the best out of any learning experience.,"Online learning can be a modern and innovative way to keep learning. As adults, it can be all too easy to forget that learning remains important. Staying open to new experiences, actively seeking out ways to learn and develop helps retain a keen interest in the world and your own self improvement.",Read,All,,,,All,All,All,,,Upskillwise,Content Writer,https://upskillwise.com/online-learning-platforms/,Online,n/a,Free,No,,,,n/a,n/a,n/a,Quarterly,,Coursera,Company,https://www.coursera.org/,Online,n/a,Paid,??,,,,1.6,https://uk.trustpilot.com/review/coursera.org,n/a,Quarterly,,Masterclass,Company,https://www.masterclass.com/,Online,n/a,Paid,??,,,,2.6,https://www.trustpilot.com/review/masterclass.com,n/a,Quarterly,,Udacity,Company,https://www.udacity.com/,Online,n/a,Free,N/a,,,,4.8,https://www.trustpilot.com/review/udacity.com,n/a,28/02/2024,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,281,,Take a course,Dip your toe into online learning,"There are plenty of online courses out there, find one that suits you and keep at it over 21 times and get the lifelong learning habit. ",,Add to habits,All,Weekly,Coursera,https://www.coursera.org/,All,All,All,,,Coursera,Company,https://www.coursera.org/,Online,n/a,Paid,??,,,,1.6,https://uk.trustpilot.com/review/coursera.org,n/a,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Identifying upskill opportunities,2,2,Development,282,283,Try learning,Get free learning from The Open University,OpenLearn is the home of free learning from The Open University. A huge range of topics for you to discover with 60-second animated videos or 24-hour courses all for free.,"Online learning can be a modern and innovative way to keep learning, but we might not be sure what we want to do. Kickstart lifelong learning by trying some free courses and open up to new experiences and your own self improvement.",Do,UK,,,,All,All,All,,,OpenLearn,Company,https://www.open.edu/openlearn/,online,N/a,Free,No,,,,2.8,https://www.trustpilot.com/review/www.open.ac.uk,n/a,Quarterly,,Future Learn,Company,https://www.futurelearn.com/,Online,n/a,Paid,??,,,,4.6,https://www.trustpilot.com/review/www.futurelearn.com,n/a,Annual,,Centre of Excellence,Company,https://www.centreofexcellence.com,online,n/a,Paid,??,None,,,4.8,https://uk.trustpilot.com/review/www.centreofexcellence.com,N/a,Annual,,Upskillwise,Content Writer,https://upskillwise.com/online-learning-platforms/,Online,n/a,Free,n/a,,,,n/a,n/a,n/a,Quarterly,
Learning,Upskill,Identifying upskill opportunities,2,,Maintenance,283,,Keep learning,Keep learning with free courses from The Open University,OpenLearn is the home of free learning from The Open University. Regularly take their courses and after 21 times this will be a great lifelong learning habit.,,Add to habits,UK,Weekly,OpenLearn,https://www.open.edu/openlearn/,All,All,All,,,OpenLearn,Company,https://www.open.edu/openlearn/,online,N/a,Free,No,,,,2.8,https://www.trustpilot.com/review/www.open.ac.uk,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Identifying upskill opportunities,2,3,Development,284,285,Workplace training,Expand your employment opportunities,"At Virtual College, there are courses to help you expand your employment opportunities. Whether that's learning a new skill or complying with current legislation, this training platform can help.","Online learning can be a be modern and innovative way to keep learning and help you retrain for a new career. As adults, it can be all too easy to forget that learning remains important but staying open to new experiences can help you stay relevant in your chosen career. ",Read,UK,,,,50-99,All,All,,,Virtual College,Company,https://www.virtual-college.co.uk/resources/expanding-your-employment-options-over-50,online,n/a,Free/Paid,Yes (NSU),,,,4.7,https://www.trustpilot.com/review/www.virtual-college.co.uk,n/a,Annual,,Centre of Excellence,Company,https://www.centreofexcellence.com/shop/writing-courses/,online,N/a,Paid,??,None,,,4.8,https://uk.trustpilot.com/review/www.centreofexcellence.com,N/a,Annual,,1 training,Company,https://www.1training.org/,Online,n/a,Paid,??,None,,,4.9,https://www.trustpilot.com/review/1training.org,n/a,Annual,,OpenLearn,Company,https://www.open.edu/openlearn/,online,n/a,Free,n/a,,,,2.8,https://www.trustpilot.com/review/www.open.ac.uk,n/a,27/02/2024,
Learning,Upskill,Identifying upskill opportunities,2,,Maintenance,285,,Workplace training,Keep expanding your employment opportunities,"Improve you employability opportunities in today’s world with the right skill set. Keep learning to get a great habit for learning.
",,Add to habits,UK,Weekly,Virtual College,https://www.virtual-college.co.uk/resources/expanding-your-employment-options-over-50,50-99,All,All,,,Virtual College,Company,https://www.virtual-college.co.uk/resources/expanding-your-employment-options-over-50,online,n/a,Free/Paid,Yes (NSU),,,,4.7,https://www.trustpilot.com/review/www.virtual-college.co.uk,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,2,2,Development,286,287,Lifelong learning,Age UK can help you find out about learning opportunities,"Education is a great way to learn something new, meet people, acquire new skills or have an active retirement. Advice from Age UK can help you make the most of learning opportunities available.  ","As adults, it can be all too easy to forget that learning remains important. Staying open to new experiences, actively seeking out ways to learn and develop helps retain a keen interest in the world. Access to learning is easier than ever whatever your age.",Read,UK,,,,60-99,All,Retired,https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Age UK,Charity,https://www.ageuk.org.uk/information-advice/work-learning/education-training/,Online/inperson,all,Free,No,,,,1.6,https://www.trustpilot.com/review/ageuk.co.uk,n/a,Annual,,Centre of Excellence,Company,https://www.centreofexcellence.com/shop/writing-courses/,online,N/a,Paid,??,None,,,4.8,https://uk.trustpilot.com/review/www.centreofexcellence.com,N/a,Annual,,Skills you need,Company,https://www.skillsyouneed.com/learning-skills.html,Online,N/a,Free,n/a,,,,n/a,n/a,n/a,Annual,,GetSetUp,Company,https://www.getsetup.io/,Online,n/a,Free/paid,??,None,,,n/a,n/a,n/a,6 Monthly,
Learning,Foundation,Identifying upskill opportunities,2,,Maintenance,287,,Keep learning,Find a learning opportunity that's right for you,"There's loads of courses available, online, in person, do something creative or practical. Doing it regularly will make it a great habit.   ",,Add to habits,UK,Weekly,Centre of Excellence,https://www.centreofexcellence.com/shop/writing-courses/,60-99,All,Retired,,,Centre of Excellence,Company,https://www.centreofexcellence.com/shop/writing-courses/,online,N/a,Paid,??,None,,,4.8,https://uk.trustpilot.com/review/www.centreofexcellence.com,N/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Identifying upskill opportunities,2,3,Development,288,289,Discover museums,Discover museums to visit from all over UK,"Discover museums to visit from all over UK, no matter what your interests are, with this independent museum listing site in the UK.","Museums and galleries provide an insight into the history of humankind. And while no museum can claim to provide a complete picture, the lessons we can learn from past events, wonders and tragedies are priceless. Stay curious!",Visit site,UK,,,,All,All,All,,,Museums.co.uk,Content Writer,https://www.museums.co.uk/,Online,n/a,Free,No,,,,n/a,n/a,n/a,6 monthly,,Art Fund,Company,https://www.artfund.org/national-art-pass,Online,n/a,Paid,??,??,,,3.2,https://www.trustpilot.com/review/www.artfund.org,n/a,Annual,,Museum Next,Company,https://www.museumnext.com/article/why-we-need-museums-now-more-than-ever/,Online,n/a,Free,n/a,n/a,,,n/a,n/a,n/a,Annual,,Musement,Company,https://www.musement.com/uk/,Online,n/a,Paid,Yes (NSU),?,,,4.3,https://www.trustpilot.com/review/www.musement.com,n/a,01/03/2024,
Learning,Upskill,Identifying upskill opportunities,2,,Maintenance,289,,Visit a museum,Binge on culture,Visit the museums in your area or beyond and get a regular fix of culture. Get the culture bug by doing this 21 times for a fantastic new mind expanding hobby.,,Add to habits,UK,Monthly,Art Fund,https://www.artfund.org/national-art-pass,All,All,All,,,Art Fund,Company,https://www.artfund.org/national-art-pass,Online,n/a,Paid,??,??,,,3.2,https://www.trustpilot.com/review/www.artfund.org,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Identifying upskill opportunities,4,1,Development,290,291,Ageing issues,Keep up to date with Age UK news,Learn about the issues affecting the elderly with news and views on age and ageing.,"Your news, your stories, your later life. Discover the latest news and views on age and ageing – from analysis of what's hitting the headlines, to the big issues affecting older people. Staying relevant helps retain a key interest in the world and keep your mind active. ",Visit site,UK,,,,60-99,All,Retired,,,Age UK,Charity,https://www.ageuk.org.uk/discover/,Online,n/a,Free,No,,,,1.6,https://www.trustpilot.com/review/ageuk.co.uk,n/a,Annual,,Centre for Ageing Better,Charity,https://ageing-better.org.uk/,Online,n/a,Free,n/a,,,,n/a,n/a,n/a,Annual,,World Health Organisation,Charity,https://www.who.int/news-room/fact-sheets/detail/ageing-and-health,Online,n/a,Free,n/a,,,,2.2,https://www.trustpilot.com/review/who.int,n/a,Annual,,Feedspot,Content Writer,https://blog.feedspot.com/aging_magazines/,Online,n/a,Free/paid,??,,,,4.1,https://www.trustpilot.com/review/feedspot.com,n/a,Quarterly,
Learning,Foundation,Identifying upskill opportunities,4,,Maintenance,291,,Keep up to date,Keep up to date with Age UK news,"Sign up to news and views on age related issues, stay relevant by reading regularly.",,Add to habits,UK,Monthly,Age UK,https://www.ageuk.org.uk/discover/,60-99,All,Retired,,,Age UK,Charity,https://www.ageuk.org.uk/discover/,Online,n/a,Free,No,,,,1.6,https://www.trustpilot.com/review/ageuk.co.uk,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Advanced Learning,4,2,Development,292,293,Become multi-lingual,Find out which language matches your learning style,Discover what type of learner you are and which language you should learn. Certain languages might come more naturally to certain people.,"Learning languages improves memory, increases attention span and strengthens both problem-solving abilities and concentration. Multilingual people have also been shown to be more logical, have stronger decision-making skills and be more perceptive and aware of their surroundings.",Do,UK,,,,All,All,All,https://www.thebritishacademy.ac.uk/projects/cognitive-benefits-language-learning/,,Rocket Language,Company,https://www.rocketlanguages.com/blog/what-language-should-I-learn-learning-type,Online,n/a,Paid,Yes (NSU),CJ Affiliates,,,3.5,https://www.trustpilot.com/review/rocketlanguages.com,n/a,Annual,,Babbel,Company,https://www.babbel.com/en/magazine/which-language-should-you-learn-quiz,Online,n/a,Paid,Yes (nsu),None,,,3.8,https://www.trustpilot.com/review/babbel.com,n/a,Annual,,Go Overseas,Content Creator,https://www.gooverseas.com/blog/best-languages-learn,Online,n/a,Free,,,,,2.6,https://www.trustpilot.com/review/gooverseas.com,n/a,6 Monthly,,Alison,Company,https://alison.com/courses/language,Online,n/a,Free/paid,Yes (NSU),,,,4.6,https://www.trustpilot.com/review/alison.com,n/a,02/03/2024,
Learning,Foundation,Advanced Learning,4,,Maintenance,293,,Find a new language,Learn a language suited to your learning style,With your new found understanding of learning styles and languages dive in and find a language you'd love to learn. It becomes good learning habit if you do it at least 21 times.,,Add to habits,UK,Weekly,Rocket Language,https://www.rocketlanguages.com/,All,All,All,https://www.thebritishacademy.ac.uk/projects/cognitive-benefits-language-learning/,,Rocket Language,Company,https://www.rocketlanguages.com/,Online,n/a,Paid,Yes (NSU),CJ Affiliates,,,3.5,https://www.trustpilot.com/review/rocketlanguages.com,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Up- and Re-skilling,3,2,Development,294,295,Which language app?,Find the right language learning platform for you,"Digital technology has opened up loads of new ways to learn a language, making it very practical and affordable. Work out which is best for you before diving in and learning a second language.",Today's top language learning platforms use innovative technology and modern study tools to make your learning process easier and more productive. Making accessing the benefits of learning a language easier for everyone.,Read,UK,,,,All,All,All,https://www.thebritishacademy.ac.uk/projects/cognitive-benefits-language-learning/,,Linguatics,Content Creator,https://linguatics.com/best-language-learning-apps/?utm_content=cmp-true,Online,n/a,Free,No,,,,n/a,n/a,n/a,Quarterly,,Rocket Language,Company,https://www.rocketlanguages.com/,Online,n/a,Paid,Yes (NSU),CJ Affiliates,,,3.5,https://www.trustpilot.com/review/rocketlanguages.com,n/a,Annual,,Babbel,Company,https://www.babbel.com/en/magazine/which-language-should-you-learn-quiz,Online,n/a,Paid,Yes (nsu),None,,,3.8,https://www.trustpilot.com/review/babbel.com,n/a,Annual,,Pimsleur,Company,https://www.pimsleur.com/,Online,n/a,Paid,Yes (NSU),,,,3.6,https://www.trustpilot.com/review/www.pimsleurapproach.com,n/a,6 Monthly,
Learning,Foundation,Up- and Re-skilling,3,,Maintenance,295,,Learn a language,"Found the perfect language platform, time to get learning","Sign up to a language course and get learning, doing this 21 times will create a great new habit.",,Add to habits,UK,Weekly,Rocket Language,https://www.rocketlanguages.com/,All,All,All,https://www.thebritishacademy.ac.uk/projects/cognitive-benefits-language-learning/,,Rocket Language,Company,https://www.rocketlanguages.com/,Online,n/a,Paid,Yes (NSU),CJ Affiliates,,,3.5,https://www.trustpilot.com/review/rocketlanguages.com,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Up- and Re-skilling,3,2,Development,296,297,Live class languages,Learn a new language with live online classes,Learn a new language quickly and efficiently in a fun and interesting environment that also has the benefit of live classes to help get you speaking a new language.,"Learning a language improves memory, increases attention span and strengthens both problem-solving abilities and concentration. Multilingual people have also been shown to be more logical, have stronger decision-making skills and be more perceptive and aware of their surroundings.",Visit site,All,,,,All,All,All,https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Babbel,Company,https://www.babbel.com/en/magazine/which-language-should-you-learn-quiz,Online,n/a,Paid,Yes (nsu),None,,,3.8,https://www.trustpilot.com/review/babbel.com,n/a,Annual,,Findcourses.co.uk,Content Creator,https://www.findcourses.co.uk/search/language-training-courses,Online,n/a,Paid,No,,,,3.7,https://www.trustpilot.com/review/www.findcourses.co.uk,n/a,6 monthly,,Fluent u,Company,https://www.fluentu.com/,Online,n/a,Paid,??,,,,4.6,https://www.trustpilot.com/review/fluentu.com,n/a,Annual,,Alison,Company,https://alison.com/courses/language,Online,n/a,Free/paid,Yes (NSU),,,,4.6,https://www.trustpilot.com/review/alison.com,n/a,Q,
Learning,Upskill,Up- and Re-skilling,3,,Maintenance,297,,Keep learning,Keep practicing your language skills,"Keep learning through further languages courses and practice, doing this 21 times will create a great new habit.",,Add to habits,,Weekly,Babbel,https://uk.babbel.com/,All,All,All,,,Babbel,Company,https://uk.babbel.com/,Online,n/a,Paid,Yes (nsu),None,,,3.8,https://www.trustpilot.com/review/babbel.com,n/a,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Up- and Re-skilling,3,2,Development,298,299,Learn a language,Learn a new language with videos from native speakers,Learn a new language and be able to watch lessons from native speakers to fully understand and absorb the language.,"Learning a language improves memory, increases attention span and strengthens both problem-solving abilities and concentration. Multilingual people have also been shown to be more logical, have stronger decision-making skills and be more perceptive and aware of their surroundings.",Visit site,All,,,,All,All,All,https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Memrise,Company,https://www.memrise.com/,Online,n/a,Free,No,,,,3,https://www.trustpilot.com/review/www.memrise.com,n/a,6 Monthly,,Fluent u,Company,https://www.fluentu.com/,Online,n/a,Paid,??,,,,4.6,https://www.trustpilot.com/review/fluentu.com,n/a,Annual,,Rocket Language,Company,https://www.rocketlanguages.com/,Online,n/a,Paid,Yes (NSU),CJ Affiliates,,,3.5,https://www.trustpilot.com/review/rocketlanguages.com,n/a,Annual,,Lingo pie,Company,https://lingopie.com/,Online,all,Free/paid,,,,,4.7,https://www.trustpilot.com/review/lingopie.com,n/a,Annual,
Learning,Upskill,Up- and Re-skilling,3,,Maintenance,299,,Keep learning,Keep practicing your language skills,"Keep learning through further language courses and practice, doing this 21 times will create a great new habit.",,Add to habits,,Weekly,Memrise,https://www.memrise.com/,All,All,All,,,Memrise,Company,https://www.memrise.com/,Online,n/a,Free,No,,,,3,https://www.trustpilot.com/review/www.memrise.com,n/a,6 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Up- and Re-skilling,3,2,Development,300,301,Read to learn,Learn a new language by reading,"Learn a new language by reading and listening to the narrations, to help you become more comfortable with the words and grammatical rules of your chosen language.","Learning a language improves memory, increases attention span and strengthens both problem-solving abilities and concentration. Multilingual people have also been shown to be more logical, have stronger decision-making skills and be more perceptive and aware of their surroundings.",Visit site,All,,,,All,All,All,https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Beelinguapp,Company,https://beelinguapp.com/,Online,n/a,Free/paid,??,,,,3.1,https://www.trustpilot.com/review/beelinguapp.com,n/a,6 Monthly,,Babbel,Company,https://www.babbel.com/en/magazine/which-language-should-you-learn-quiz,Online,n/a,Paid,Yes (nsu),None,,,3.8,https://www.trustpilot.com/review/babbel.com,n/a,Annual,,Alison,Company,https://alison.com/courses/language,Online,n/a,Free/paid,Yes (NSU),,,,4.6,https://www.trustpilot.com/review/alison.com,n/a,Annual,,Brainscape,Content Creator,https://www.brainscape.com/academy/reading-foreign-languages-learn-study/,Online,n/a,Free,,,,,3.1,https://www.trustpilot.com/review/brainscape.com,n/a,Annual,
Learning,Upskill,Up- and Re-skilling,3,,Maintenance,301,,Keep learning,Keep practicing your language skills,"Keep learning through further language courses and practice, doing this 21 times will create a great new habit.",,Add to habits,,Weekly,Beelinguapp,https://beelinguapp.com/,All,All,All,,,Beelinguapp,Company,https://beelinguapp.com/,Online,n/a,Free/paid,??,,,,3.1,https://www.trustpilot.com/review/beelinguapp.com,n/a,6 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Up- and Re-skilling,3,2,Development,302,303,Free language course,Check out free language courses available,"Whether it’s French, German, Spanish, Italian or Japanese you’d like to learn, there's free language courses available for you. ","Learning a language improves memory, increases attention span and strengthens both problem-solving abilities and concentration. Multilingual people have also been shown to be more logical, have stronger decision-making skills and be more perceptive and aware of their surroundings.",Visit site,UK,,,,All,All,"Not working, retired",,,Alison,Company,https://alison.com/courses/language,Online,n/a,Free/paid,Yes (NSU),None,,,4.6,https://www.trustpilot.com/review/alison.com,n/a,Annual,,Duolingo,Company,https://blog.duolingo.com/language-practice-tips-from-experts/,Online,n/a,Free,??,,,,1.4,https://www.trustpilot.com/review/duolingo.com,n/a,Quarterly,,Lifewire,Content Creator,https://www.lifewire.com/best-free-language-learning-websites-1357061,Online,all,Free,,,,,3,https://www.trustpilot.com/review/lifewire.com,n/a,6 Monthly,,Linguatics,Content Creator,https://linguatics.com/best-language-learning-apps/?utm_content=cmp-true,Online,n/a,Free,n/a,,,,n/a,n/a,n/a,Quarterly,
